runName,threadCount,implementationStrategy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
eightThreads50_constant,8,MULTI_THREADED,114,118,115,137,69,46,62,55,48,53,69,70,118,119,61,108,113,77,49,49,45,78,123,130,90,50,66,44,44,47
fourThreads50_constant,4,MULTI_THREADED,82,65,64,66,64,64,77,65,71,65,77,75,72,65,67,82,64,71,67,78,67,73,71,71,71,69,67,69,74,88
fourThreads400_constant,4,MULTI_THREADED,85907,85165,84692,85968,84985,84401,84790,85602,84657,84550,85107,84883,84494,84809,85673,84327,85056,85218,85361,84733,88473,85630,85020,84719,85165,85585,84739,84517,85898,84676
twoThreads250_constant,2,MULTI_THREADED,22678,19660,20025,19919,20349,20062,20155,20484,20077,20591,20404,18109,19428,20063,20428,17756,19170,19841,20582,18422,13968,14384,13986,15832,14219,13892,13749,19914,20341,20406
fourThreads250_constant,4,MULTI_THREADED,16053,15738,15532,17789,16845,16680,16398,17295,18777,16062,15738,16889,16715,18453,16751,19240,17194,17132,16889,17139,17153,17633,17477,16966,16363,17411,16795,16232,16983,17837
twoThreads20_constant,2,MULTI_THREADED,10,10,10,15,9,11,191,10,10,15,9,15,10,9,12,19,15,16,15,16,15,10,11,10,10,10,9,18,11,10
eightThreads20_constant,8,MULTI_THREADED,18,25,16,19,15,18,20,18,16,30,17,20,24,18,18,32,13,18,18,18,19,18,15,16,23,32,19,70,18,9
twoThreads50_constant,2,MULTI_THREADED,107,109,108,109,148,146,145,149,146,113,109,109,112,149,108,107,108,107,112,107,112,108,117,147,144,108,115,114,121,118
fourThreads20_constant,4,MULTI_THREADED,10,10,11,11,12,10,11,12,8,14,16,11,9,9,12,9,10,11,8,9,14,9,9,9,8,8,9,8,10,10
twoThreads400_constant,2,MULTI_THREADED,110680,111334,110804,112399,108815,112493,108551,109905,113647,109643,109679,110337,108403,110509,110136,110347,111468,109594,108959,112047,108872,110490,109762,110093,109989,110130,110447,113083,110279,110850
eightThreads250_constant,8,MULTI_THREADED,17284,16370,15220,15091,16572,17200,15371,16225,16807,17472,16446,15421,16889,16774,18385,17257,17127,17595,17880,14995,15120,16607,16507,16654,16446,15836,16338,16726,17143,14886
eightThreads400_constant,8,MULTI_THREADED,76915,78622,77657,77367,78294,79211,77534,77348,78500,78589,78157,78620,78543,78031,77933,78255,78389,78618,78234,77668,78633,77829,77605,78203,79086,78181,77737,78712,78420,78569
